Pays/année	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
HAITI	1 409	1 407	1 431	1 402	1 453	1 463	1 432	1 419	1 362	1 344	1 551	1566	1654
HONDURAS	307	315	268	342	407	416	384	332	350	377	387	412	397
HONGRIE	1 565	1 614	1 679	1 780	1 924	2 336	2 201	2 133	2 295	2 338	2 413	2396	2402
INDE	7 924	8 134	8 284	7 947	8 195	8 793	8 265	8 669	9 030	9 004	9 595	9687	9950
INDONESIE	1 646	1 751	1 871	1 974	2 228	2 774	2 318	2 501	2 561	2 917	3 564	3906	3973
IRAK	71	92	43	43	37	54	32	25	37	100	173	254	320
IRAN	710	813	856	845	972	1 012	883	871	831	844	903	835	913
IRLANDE	3 980	4 720	5 664	6 091	6 669	8 258	7 236	8 448	8 651	8 589	8 881	8980	8310
ISLANDE	208	196	200	224	241	273	267	292	303	309	341	348	349
ISRAEL	33 489	38 157	42 533	43 111	42 573	44 279	49 137	56 585	57 941	59 018	58 840	54886	51714
ITALIE	30 717	35 682	41 133	41 797	41 494	44 497	44 561	46 224	46 618	46 554	48 352	46987	46896
JAMAIQUE	153	166	176	194	199	202	185	174	172	173	203	163	194
JAPON	5 373	5 909	6 436	6 755	7 127	7 894	7 735	7 942	6 088	7 262	7 480	7305	7292
JERUSALEM	8 278	9 463	11 058	11 805	13 158	14 585	15 510	17 099	17 856	19 730	19 708	21848	23274
JORDANIE	800	820	827	858	957	1 040	1 148	1 263	1 364	1 444	1 407	1400	1464
KAZAKHSTAN	120	111	111	154	227	298	278	314	353	374	417	385	416
KENYA	729	814	823	822	893	1 028	975	1 056	1 096	1 153	1 366	1440	1529
KOSOVO											108	136	119
KOWEIT	597	638	661	775	828	926	966	962	943	948	1 014	989	1045
LAOS	882	999	967	1 012	1 086	1 278	1 209	1 439	1 568	1 741	1 884	1952	1936
LETTONIE	69	90	112	114	167	190	186	190	180	166	193	198	203
LIBAN	14 536	15 691	16 853	16 564	17 564	19 279	16 937	18 225	18 807	19 725	21 428	21589	22525
LIBYE	301	316	411	435	503	484	470	602	742	742	407	256	293
LITUANIE	169	193	196	208	210	230	245	289	340	369	379	387	408
LUXEMBOURG	15 940	17 804	19 673	20 946	21 714	22 981	23 854	24 809	25 385	26 136	28 720	30352	32575
MACEDOINE (A.R.Y.M.)	129	186	189	247	252	299	284	322	325	297	201	182	203
MADAGASCAR	18 498	17 868	18 711	20 044	19 602	20 124	18 962	19 821	19 841	19 930	19 864	18814	18607
MALAISIE	1 179	1 369	1 568	1 442	1 666	1 738	1 596	1 863	2 053	2 336	2 592	2753	3134
MALI	3 958	4 091	4 475	4 258	4 576	5 026	4 506	4 559	4 331	4 443	4 815	4774	5256
MALTE	216	220	219	235	253	297	296	326	364	399	497	542	600
MAROC	25 849	28 078	30 208	29 942	30 003	32 689	34 097	36 818	39 044	41 129	44 000	45269	46995
MAURICE	5 715	6 462	6 983	7 038	6 600	7 226	7 464	8 270	8 598	9 109	9 780	10175	10322
MAURITANIE	1 520	1 507	1 680	1 811	1 920	2 163	1 721	1 896	2 117	1 926	2 127	2120	1915
MEXIQUE	9 384	11 293	13 087	13 681	13 510	14 492	14 315	15 378	16 048	16 404	17 315	17556	17690
MOLDAVIE							63	65	78	87	102	99	90
MONACO	9 323	9 454	9 639	9 075	7 923	8 294	8 838	8 848	8 545	8 302	7 792	7683	7865
MONGOLIE	5	11	25	36	56	74	84	101	89	100	118	142	152
MONTENEGRO											111	121	120
MOZAMBIQUE	349	377	408	425	371	362	391	392	436	457	468	444	515
NAMIBIE	191	151	176	192	199	218	233	246	257	270	293	300	257
NEPAL	199	178	161	174	201	184	189	186	220	233	218	239	248
NICARAGUA	404	422	445	478	512	579	556	579	574	628	660	645	687
NIGER	1 442	1 442	1 490	1 477	1 354	1 495	1 445	1 472	1 550	1 572	1 558	1639	1648
NIGERIA	1 315	1 328	1 299	1 324	1 557	2 023	1 625	1 666	1 663	1 699	1 826	1851	1674
NORVEGE	2 413	2 792	3 227	3 476	3 697	3 933	4 273	4 602	4 734	4 760	5 034	5097	5111
NOUVELLE-ZELANDE	1 254	1 307	1 619	1 707	2 040	2 714	2 883	3 188	3 394	3 304	3 512	3491	3612
OMAN	318	357	400	400	421	430	473	521	559	653	702	728	769
OUGANDA	130	177	195	216	240	262	202	231	280	277	387	414	417
OUZBEKISTAN	108	115	128	115	152	141	94	94	99	103	111	86	88
PAKISTAN	504	342	365	379	431	511	503	531	583	598	578	552	555
PANAMA	412	458	522	557	649	767	668	915	932	1 130	1 270	1353	1428
PAPOUASIE-NLE-GUINEE	43	51	44	39	22	36	30	37	47	91	120	127	134
PARAGUAY	983	1 007	994	1 066	1 114	1 207	1 262	1 285	1 343	1 365	1 395	1435	1494
PAYS-BAS	16 423	18 276	19 552	19 148	18 519	19 968	19 375	21 282	22 407	23 593	23 934	23149	23448
PEROU	2 277	2 411	2 687	2 825	2 837	2 684	2 797	3 063	3 315	3 470	3 713	3597	3699
PHILIPPINES	1 137	1 198	1 335	1 351	1 322	1 501	1 639	1 743	1 790	1 956	2 272	2371	2507
POLOGNE	4 850	5 052	5 393	5 413	4 889	5 152	5 025	5 061	5 127	5 381	5 757	5876	6067
PORTUGAL	9 287	10 455	11 789	11 998	11 956	12 633	12 135	13 864	14 320	15 049	15 572	15707	15472
QATAR	584	678	705	806	1 046	1 504	1 802	2 278	2 680	2 948	3 202	3366	3664
ROUMANIE	1 420	1 577	1 745	1 938	2 256	2 643	2 208	2 483	2 799	2 985	2 979	2973	3075
ROYAUME-UNI	78 919	85 823	91 630	94 563	102 470	111 186	107 914	112 660	113 127	113 655	123 306	126049	126239
RUSSIE	2 302	2 700	3 082	3 342	3 817	4 683	4 769	5 139	5 251	5 417	5 752	5764	6093
RWANDA	201	224	225	267	240	245	175	124	70	194	258	318	324
SAINTE-LUCIE	396	551	580	659	710	772	800	853	859	800	805	760	786
SAINT-SIEGE	85	28	42	57	55	65	58	49	21	17			
SALVADOR	439	521	526	611	623	668	650	660	673	671	690	701	727
SENEGAL	13 283	14 528	15 079	15 235	16 813	17 834	16 966	16 882	15 442	16 817	17 729	18332	19661
SERBIE	520	732	826	867	1 044	1 228	1 207	1 354	1 465	1 502	1 483	1425	1397
SEYCHELLES	281	271	291	337	290	362	417	496	481	509	552	538	535
SINGAPOUR	3 243	3 290	3 512	3 635	4 321	5 089	5 462	6 169	6 957	7 706	9 197	9940	10526
SLOVAQUIE	281	316	317	465	802	948	938	1 049	1 094	1 017	895	848	830
SLOVENIE	380	388	430	457	515	569	612	638	638	667	682	702	679
SOUDAN	174	196	218	240	304	341	375	331	231	249	225	222	209
